LOCAL_PATH,FILE_SIZE,BUCKET_NAME,DESTINATION_KEY,CHECKSUM,CHECKSUM_SIZE,CHECKSUM_KEY
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00029.fit,109843200,dummy_bucket,VIDEO/20141227/v20141227_00029.fit,b'e146942d70fb1be732df648fc3313221',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00002.fit,109644480,dummy_bucket,VIDEO/20141227/v20141227_00002.fit,b'f70b65e15be3e27dc8520b7ec199bb7e',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00001_st_tl_conf.fit,55428480,dummy_bucket,VIDEO/20141227/v20141227_00001_st_tl_conf.fit,b'6ba94fe6f0b7e8ed7b9df9bbbfd861c5',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00021.fit,109555200,dummy_bucket,VIDEO/20141227/v20141227_00021.fit,b'6dba2b619ade5231d5efcd6b66941ee6',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00008_st_conf.fit,24120000,dummy_bucket,VIDEO/20141227/v20141227_00008_st_conf.fit,b'd1d237309533f094644314913134d996',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00022.fit,109595520,dummy_bucket,VIDEO/20141227/v20141227_00022.fit,b'197d461556d8f71260682386a996ccac',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00037.fit,109981440,dummy_bucket,VIDEO/20141227/v20141227_00037.fit,b'f0c5c6ed4d77fc5641a62adfa4ca8999',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00001_st_tl_cat.fits,17467200,dummy_bucket,VIDEO/20141227/v20141227_00001_st_tl_cat.fits,b'551b9664e5f7f8fee578507860e3eb5a',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00018.fit,109520640,dummy_bucket,VIDEO/20141227/v20141227_00018.fit,b'4aa82204d47b33c95bfdd0ad0c2f0b9c',,
/rds/project/rds-rPTGgs6He74/data/private/VISTA/VIDEO/20141227/v20141227_00014.fit,109563840,dummy_bucket,VIDEO/20141227/v20141227_00014.fit,b'e6445842d0defec964b0701d7ea1acbd',,
