LOCAL_FOLDER,LOCAL_PATH,FILE_SIZE,BUCKET_NAME,DESTINATION_KEY,CHECKSUM,CHECKSUM_SIZE,CHECKSUM_KEY
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/r","/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/r/deepCoadd_9939_30_r_hscPdr2_hscImports_pdr3_wide_full.fits",126872640,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/r/deepCoadd_9939_30_r_hscPdr2_hscImports_pdr3_wide_full.fits.symlink",b'201072c1e79698b8952714528d72ae9f',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/r","/rds/project/rds-rPTGgs6He74/ras81/lsst-ir-fusion/dmu0/dmu0_HSC/data/hsc-release.mtk.nao.ac.jp/archive/filetree/pdr3_wide/deepCoadd-results/HSC-R/9939/3,3/calexp-HSC-R-9939-3,3.fits",126872640,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/r/deepCoadd_9939_30_r_hscPdr2_hscImports_pdr3_wide_full.fits",b'201072c1e79698b8952714528d72ae9f',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/y","/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/y/deepCoadd_9939_30_y_hscPdr2_hscImports_pdr3_wide_full.fits",126325440,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/y/deepCoadd_9939_30_y_hscPdr2_hscImports_pdr3_wide_full.fits.symlink",b'baa74ff0c94276fd1956a5baf89e4927',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/y","/rds/project/rds-rPTGgs6He74/ras81/lsst-ir-fusion/dmu0/dmu0_HSC/data/hsc-release.mtk.nao.ac.jp/archive/filetree/pdr3_wide/deepCoadd-results/HSC-Y/9939/3,3/calexp-HSC-Y-9939-3,3.fits",126325440,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/y/deepCoadd_9939_30_y_hscPdr2_hscImports_pdr3_wide_full.fits",b'baa74ff0c94276fd1956a5baf89e4927',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/g","/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/g/deepCoadd_9939_30_g_hscPdr2_hscImports_pdr3_wide_full.fits",126478080,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/g/deepCoadd_9939_30_g_hscPdr2_hscImports_pdr3_wide_full.fits.symlink",b'7ad9c62363d1448e310add51f361d774',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/g","/rds/project/rds-rPTGgs6He74/ras81/lsst-ir-fusion/dmu0/dmu0_HSC/data/hsc-release.mtk.nao.ac.jp/archive/filetree/pdr3_wide/deepCoadd-results/HSC-G/9939/3,3/calexp-HSC-G-9939-3,3.fits",126478080,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/g/deepCoadd_9939_30_g_hscPdr2_hscImports_pdr3_wide_full.fits",b'7ad9c62363d1448e310add51f361d774',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/i","/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/i/deepCoadd_9939_30_i_hscPdr2_hscImports_pdr3_wide_full.fits",133001280,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/i/deepCoadd_9939_30_i_hscPdr2_hscImports_pdr3_wide_full.fits.symlink",b'56ba2b9124190239a99bafe1f18b7361',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/i","/rds/project/rds-rPTGgs6He74/ras81/lsst-ir-fusion/dmu0/dmu0_HSC/data/hsc-release.mtk.nao.ac.jp/archive/filetree/pdr3_wide/deepCoadd-results/HSC-I/9939/3,3/calexp-HSC-I-9939-3,3.fits",133001280,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/i/deepCoadd_9939_30_i_hscPdr2_hscImports_pdr3_wide_full.fits",b'56ba2b9124190239a99bafe1f18b7361',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/z","/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/z/deepCoadd_9939_30_z_hscPdr2_hscImports_pdr3_wide_full.fits",129576960,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/z/deepCoadd_9939_30_z_hscPdr2_hscImports_pdr3_wide_full.fits.symlink",b'619d2840cebdfd83da6f2d177b738cc5',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/z","/rds/project/rds-rPTGgs6He74/ras81/lsst-ir-fusion/dmu0/dmu0_HSC/data/hsc-release.mtk.nao.ac.jp/archive/filetree/pdr3_wide/deepCoadd-results/HSC-Z/9939/3,3/calexp-HSC-Z-9939-3,3.fits",129576960,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/30/z/deepCoadd_9939_30_z_hscPdr2_hscImports_pdr3_wide_full.fits",b'619d2840cebdfd83da6f2d177b738cc5',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/r","/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/r/deepCoadd_9939_71_r_hscPdr2_hscImports_pdr3_wide_full.fits",128689920,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/r/deepCoadd_9939_71_r_hscPdr2_hscImports_pdr3_wide_full.fits.symlink",b'3f4efa745715d1aabc048d224dcbb570',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/r","/rds/project/rds-rPTGgs6He74/ras81/lsst-ir-fusion/dmu0/dmu0_HSC/data/hsc-release.mtk.nao.ac.jp/archive/filetree/pdr3_wide/deepCoadd-results/HSC-R/9939/8,7/calexp-HSC-R-9939-8,7.fits",128689920,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/r/deepCoadd_9939_71_r_hscPdr2_hscImports_pdr3_wide_full.fits",b'3f4efa745715d1aabc048d224dcbb570',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/y","/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/y/deepCoadd_9939_71_y_hscPdr2_hscImports_pdr3_wide_full.fits",125176320,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/y/deepCoadd_9939_71_y_hscPdr2_hscImports_pdr3_wide_full.fits.symlink",b'b7796fa33eac65732b424c347b176108',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/y","/rds/project/rds-rPTGgs6He74/ras81/lsst-ir-fusion/dmu0/dmu0_HSC/data/hsc-release.mtk.nao.ac.jp/archive/filetree/pdr3_wide/deepCoadd-results/HSC-Y/9939/8,7/calexp-HSC-Y-9939-8,7.fits",125176320,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/y/deepCoadd_9939_71_y_hscPdr2_hscImports_pdr3_wide_full.fits",b'b7796fa33eac65732b424c347b176108',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/g","/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/g/deepCoadd_9939_71_g_hscPdr2_hscImports_pdr3_wide_full.fits",125349120,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/g/deepCoadd_9939_71_g_hscPdr2_hscImports_pdr3_wide_full.fits.symlink",b'34cfab0300ca5fc2548deef84b5057ad',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/g","/rds/project/rds-rPTGgs6He74/ras81/lsst-ir-fusion/dmu0/dmu0_HSC/data/hsc-release.mtk.nao.ac.jp/archive/filetree/pdr3_wide/deepCoadd-results/HSC-G/9939/8,7/calexp-HSC-G-9939-8,7.fits",125349120,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/g/deepCoadd_9939_71_g_hscPdr2_hscImports_pdr3_wide_full.fits",b'34cfab0300ca5fc2548deef84b5057ad',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/i","/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/i/deepCoadd_9939_71_i_hscPdr2_hscImports_pdr3_wide_full.fits",129170880,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/i/deepCoadd_9939_71_i_hscPdr2_hscImports_pdr3_wide_full.fits.symlink",b'170049b6a0d2c6d4c3ec297ae7fd5119',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/i","/rds/project/rds-rPTGgs6He74/ras81/lsst-ir-fusion/dmu0/dmu0_HSC/data/hsc-release.mtk.nao.ac.jp/archive/filetree/pdr3_wide/deepCoadd-results/HSC-I/9939/8,7/calexp-HSC-I-9939-8,7.fits",129170880,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/i/deepCoadd_9939_71_i_hscPdr2_hscImports_pdr3_wide_full.fits",b'170049b6a0d2c6d4c3ec297ae7fd5119',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/z","/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/z/deepCoadd_9939_71_z_hscPdr2_hscImports_pdr3_wide_full.fits",125830080,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/z/deepCoadd_9939_71_z_hscPdr2_hscImports_pdr3_wide_full.fits.symlink",b'6d032fd3f62fa8726f3c066b29f14b14',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/z","/rds/project/rds-rPTGgs6He74/ras81/lsst-ir-fusion/dmu0/dmu0_HSC/data/hsc-release.mtk.nao.ac.jp/archive/filetree/pdr3_wide/deepCoadd-results/HSC-Z/9939/8,7/calexp-HSC-Z-9939-8,7.fits",125830080,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/71/z/deepCoadd_9939_71_z_hscPdr2_hscImports_pdr3_wide_full.fits",b'6d032fd3f62fa8726f3c066b29f14b14',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/r","/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/r/deepCoadd_9939_76_r_hscPdr2_hscImports_pdr3_wide_full.fits",126138240,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/r/deepCoadd_9939_76_r_hscPdr2_hscImports_pdr3_wide_full.fits.symlink",b'a10e5ff9f3a685869e577e1bbf45e3b0',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/r","/rds/project/rds-rPTGgs6He74/ras81/lsst-ir-fusion/dmu0/dmu0_HSC/data/hsc-release.mtk.nao.ac.jp/archive/filetree/pdr3_wide/deepCoadd-results/HSC-R/9939/4,8/calexp-HSC-R-9939-4,8.fits",126138240,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/r/deepCoadd_9939_76_r_hscPdr2_hscImports_pdr3_wide_full.fits",b'a10e5ff9f3a685869e577e1bbf45e3b0',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/y","/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/y/deepCoadd_9939_76_y_hscPdr2_hscImports_pdr3_wide_full.fits",127359360,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/y/deepCoadd_9939_76_y_hscPdr2_hscImports_pdr3_wide_full.fits.symlink",b'b4e0071436c467e68e96ec05f71c2fd3',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/y","/rds/project/rds-rPTGgs6He74/ras81/lsst-ir-fusion/dmu0/dmu0_HSC/data/hsc-release.mtk.nao.ac.jp/archive/filetree/pdr3_wide/deepCoadd-results/HSC-Y/9939/4,8/calexp-HSC-Y-9939-4,8.fits",127359360,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/y/deepCoadd_9939_76_y_hscPdr2_hscImports_pdr3_wide_full.fits",b'b4e0071436c467e68e96ec05f71c2fd3',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/g","/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/g/deepCoadd_9939_76_g_hscPdr2_hscImports_pdr3_wide_full.fits",126371520,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/g/deepCoadd_9939_76_g_hscPdr2_hscImports_pdr3_wide_full.fits.symlink",b'9b9b430035f1bdf6c79123e66c4d1a99',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/g","/rds/project/rds-rPTGgs6He74/ras81/lsst-ir-fusion/dmu0/dmu0_HSC/data/hsc-release.mtk.nao.ac.jp/archive/filetree/pdr3_wide/deepCoadd-results/HSC-G/9939/4,8/calexp-HSC-G-9939-4,8.fits",126371520,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/g/deepCoadd_9939_76_g_hscPdr2_hscImports_pdr3_wide_full.fits",b'9b9b430035f1bdf6c79123e66c4d1a99',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/i","/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/i/deepCoadd_9939_76_i_hscPdr2_hscImports_pdr3_wide_full.fits",136569600,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/i/deepCoadd_9939_76_i_hscPdr2_hscImports_pdr3_wide_full.fits.symlink",b'5941fc17fe57645ad4425c9ac3933723',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/i","/rds/project/rds-rPTGgs6He74/ras81/lsst-ir-fusion/dmu0/dmu0_HSC/data/hsc-release.mtk.nao.ac.jp/archive/filetree/pdr3_wide/deepCoadd-results/HSC-I/9939/4,8/calexp-HSC-I-9939-4,8.fits",136569600,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/i/deepCoadd_9939_76_i_hscPdr2_hscImports_pdr3_wide_full.fits",b'5941fc17fe57645ad4425c9ac3933723',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/z","/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/z/deepCoadd_9939_76_z_hscPdr2_hscImports_pdr3_wide_full.fits",128664000,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/z/deepCoadd_9939_76_z_hscPdr2_hscImports_pdr3_wide_full.fits.symlink",b'1dc3f0f6ef6897a86283db8ecb77e145',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/z","/rds/project/rds-rPTGgs6He74/ras81/lsst-ir-fusion/dmu0/dmu0_HSC/data/hsc-release.mtk.nao.ac.jp/archive/filetree/pdr3_wide/deepCoadd-results/HSC-Z/9939/4,8/calexp-HSC-Z-9939-4,8.fits",128664000,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/76/z/deepCoadd_9939_76_z_hscPdr2_hscImports_pdr3_wide_full.fits",b'1dc3f0f6ef6897a86283db8ecb77e145',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/65/r","/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/65/r/deepCoadd_9939_65_r_hscPdr2_hscImports_pdr3_wide_full.fits",128969280,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/65/r/deepCoadd_9939_65_r_hscPdr2_hscImports_pdr3_wide_full.fits.symlink",b'6fc40a74c2508895e43af8911ab1968c',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/65/r","/rds/project/rds-rPTGgs6He74/ras81/lsst-ir-fusion/dmu0/dmu0_HSC/data/hsc-release.mtk.nao.ac.jp/archive/filetree/pdr3_wide/deepCoadd-results/HSC-R/9939/2,7/calexp-HSC-R-9939-2,7.fits",128969280,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/65/r/deepCoadd_9939_65_r_hscPdr2_hscImports_pdr3_wide_full.fits",b'6fc40a74c2508895e43af8911ab1968c',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/65/y","/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/65/y/deepCoadd_9939_65_y_hscPdr2_hscImports_pdr3_wide_full.fits",133194240,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/65/y/deepCoadd_9939_65_y_hscPdr2_hscImports_pdr3_wide_full.fits.symlink",b'b5c9df77a56fc8f0bbb8303f53644328',n/a,n/a
"/rds/project/rds-lT5YGmtKack/ras81/butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/65/y","/rds/project/rds-rPTGgs6He74/ras81/lsst-ir-fusion/dmu0/dmu0_HSC/data/hsc-release.mtk.nao.ac.jp/archive/filetree/pdr3_wide/deepCoadd-results/HSC-Y/9939/2,7/calexp-HSC-Y-9939-2,7.fits",133194240,"LSST-IR-Fusion-Butlers","butler_full_20221201/data/hscImports/pdr3_wide_full/deepCoadd/9939/65/y/deepCoadd_9939_65_y_hscPdr2_hscImports_pdr3_wide_full.fits",b'b5c9df77a56fc8f0bbb8303f53644328',n/a,n/a
